Filing Date,Document Type,Filed By,Description
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560273113""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,REPLY COMMENTS ON HIGH DER TRACK 3 ASSIGNED COMMISSIONERS RULING
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560138245""><span style=""color:blue""><u>COMMENTS</u></span></a>",Environmental Defense Fund,"REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560134420""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/M.Miley/CPUC,"REPLY COMMENTS ON ASSIGNED COMMISSIONERS AND ADMINISTRATIVE LAW JUDGES RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES,SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULEFOR TRACK 3"
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560101203""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers'''' Action Network,"REPLY COMMENTS ON RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829319""><span style=""color:blue""><u>COMMENTS</u></span></a>",Green Power Institute,REPLY COMMENTS ON ASSIGNED COMMISSIONER''S AND ADMINISTRATIVE LAW JUDGES'' RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560241881""><span style=""color:blue""><u>COMMENTS</u></span></a>",Clean Coalition,"REPLY COMMENTS ON ASSIGNED COMMISSIONERS AND ADMINISTRATIVE LAW JUDGES RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829318""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,"REPLY COMMENTS ON ASSIGNED COMMISSIONERS AND ADMINISTRATIVE LAW JUDGES RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558970143""><span style=""color:blue""><u>REPORT</u></span></a>","Southern California Edison Company,San Diego Gas & Electric Company,Pacific Gas and Electric Company",Submission of Independent Professional Engineer (IPE) Post-Distribution Planning Advisory Group Report.
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559095130""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559071696""><span style=""color:blue""><u>COMMENTS</u></span></a>",Clean Coalition,"COMMENTS ON ASSIGNED COMMISSIONER'S AND ADMINISTRATIVE LAW JUDGE'S RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558970080""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/M.Miley/CPUC,"COMMENTS ON ASSIGNED COMMISSIONER'S AND ADMINISTRATIVE LAW JUDGE'S RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHER DIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558970075""><span style=""color:blue""><u>COMMENTS</u></span></a>",Advanced Energy United,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559071682""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559099148""><span style=""color:blue""><u>COMMENTS</u></span></a>",Environmental Defense Fund,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560101113""><span style=""color:blue""><u>COMMENTS</u></span></a>",Green Power Institute,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling. Seeking Additional Information from Parties.
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559071688""><span style=""color:blue""><u>COMMENTS</u></span></a>","Interstate Renewable Energy Council, Inc.",Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558423107""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559223092""><span style=""color:blue""><u>COMMENTS</u></span></a>",350 Bay Area,Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559223081""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Opening Comments on Assigned Commissioner and Administrative Law Judges Ruling
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559099155""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vehicle-Grid Integration Council,"Comments to Assigned Commissioners & ALJs Ruling Seeking Additional Information from Parties, setting forth Further Direction, and Modifying Schedule for Track 3."
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558427360""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,OPENING COMMENTS ON TRACK 3 QUESTIONS
"March 06, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=557608942""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/REGNIER/CPUC,ALJ/LAKHANPAL/CPUC",ADMINISTRATIVE LAW JUDGES RULING SETTING SCHEDULE FOR THE 2025-2026 DISTRIBUTION INVESTMENT DEFERRAL FRAMEWORK CYCLE
"February 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=557609556""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/REGNIER/LAKHANPAL/CPUC,"EMAIL RULING GRANTING CRITICAL LOOP, INC. PARTY STATUS"
"February 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=557609864""><span style=""color:blue""><u>MOTION</u></span></a>","Critical Loop, Inc.","MOTION FOR PARTY STATUS. MFPS Granted via E-mail Ruling Issued on February 26, 2025 by ALJ Justin Regnier and ALJ Manisha Lakhanpal."
"February 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=557608542""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/REGNIER/CPUC,"EMAIL RULING GRANTING SCHEDULE AMENDMENT (R.21-06-017).  Opening Comments to the High DER Ruling shall be due on March 13, 2025. Reply Comments to the High-DER Ruling shall be due on March 27, 2025."
"February 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556602566""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/LAKHANPAL/CPUC,ALJ/REGNIER/CPUC","EMAIL RULING CORRECTING ERROR IN THE FEBRUARY7, 2025, RULING IN REGARD TO THE FILING DATE FOR OPENING COMMENTS. This email ruling corrects the typographical error and clarifies that the deadline to file and serve opening comments on the Ruling is within 20 days of the issuance of the Ruling."
"February 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556602955""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/REGNIER/CPUC,CMMR/HOUCK/CPUC,ALJ/LAKHANPAL/CPUC","Assigned Commissioners and Administrative Law Judges Ruling seeking additional information from parties, setting forth further direction, and modifying schedule for Track 3. Parties may file and serve responses within 20 days. Replies must be filed and served within 5 days of the last day for filing responses."
"February 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555977643""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,Comments on Assigned Commissioner and Administrative Law Judges Ruling
"February 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556053037""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/M.Miley/CPUC,Comments on Assigned Commissioner and Administrative Law Judges Ruling
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555960637""><span style=""color:blue""><u>MOTION</u></span></a>",California Building Industry Association,MOTION FOR PARTY STATUS [NOTE:  Second motion requesting party status.]
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555914692""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/REGNIER/CPUC,E-Mail Ruling correcting typographical error- R.21-06-017 E-Mail Ruling approving the 1/30 motion for party status of the Californias Building Industry Association.
"January 23, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555430582""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/REGNIER/CPUC,EMAIL RULING DENYING WITHOUT PREJUDICE MOTION FOR PARTY STATUS FILED BY CALIFORNIA BUILDING INDUSTRY ASSOCIATION
"January 22, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555183947""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/REGNIER/ CPUC,ALJ/LAKHANPAL/ CPUC,CMMR/ DARCIE L. HOUCK/ CPUC",ASSIGNED COMMISSIONERS AND ASSIGNED ADMINISTRATIVE LAW JUDGESRULING SEEKING COMMENT ON PROPOSED MODIFICATIONS TO THE DUE DATES TO FILE THE FINAL ELECTRIFICATION IMPACT STUDY PART 2 REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555427939""><span style=""color:blue""><u>COMMENTS</u></span></a>","Green Power Institute,Clean Coalition",REPLY COMMENTS ON FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555427938""><span style=""color:blue""><u>COMMENTS</u></span></a>",Clean Coalition,REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553679272""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553679163""><span style=""color:blue""><u>COMMENTS</u></span></a>",Advanced Energy United,ADVANCED ENERGY UNITEDS REPLY COMMENTS ON THE FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553678619""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vehicle-Grid Integration Council,REPLY COMMENTS ON THE ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553678511""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company,Southern California Edison Company",JOINT REPLY COMMENTS ON ALJ RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT (TRACK 2)
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553679271""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council,Environmental Defense Fund",REPLY COMMENTS ON FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553678510""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Energy Efficiency and Renewable Technologies,REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553679062""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLYCOMMENTS OF SMALL BUSINESS UTILITY ADVOCATES ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"January 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553678722""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,REPLY COMMENTS IN RESPONSE TO ADMINISTRATIVE LAW JUDGES RULING REGARDING FUTURE GRID STUDY REPORT
"January 06, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=553184626""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vote Solar,REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550610282""><span style=""color:blue""><u>MOTION</u></span></a>",California Building Industry Association,MOTION FOR PARTY STATUS OF THE CALIFORNIA BUILDING INDUSTRY ASSOCIATION
"December 23, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549797842""><span style=""color:blue""><u>REQUEST</u></span></a>",Environmental Defense Fund,for intervenor compensation for contribution to D24-10-030
"December 20, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550112180""><span style=""color:blue""><u>REQUEST</u></span></a>",Utility Consumers' Action Network,for intervenor compensation for contribution to D24-10-030
"December 20, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550112183""><span style=""color:blue""><u>REQUEST</u></span></a>",Green Power Institute,for intervenor compensation for contribution to D24-10-030
"December 20, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550147954""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,for intervenor compensation for contribution to D24-10-030
"December 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549805852""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Diego Gas & Electric Company,COMPLIANCE REPORT REGARDING TRANSMITTAL OF BRIDGING STRATEGIES PLAN
"December 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550610226""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,Southern California Edison Companys Plan and Compliance Report on Bridging Strategies and Solutions.
"December 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549465246""><span style=""color:blue""><u>REPORT</u></span></a>",Pacific Gas and Electric Company,Bridging Solutions Strategies Compliance Report filed by Pacific Gas and Electric Company.
"December 10, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548970107""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/LAKHANPAL/REGNIER/CPUC,EMAIL RULING GRANTING OHMCONNECT'S MOTION FOR PARTY STATUS
"December 09, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548969970""><span style=""color:blue""><u>COMMENTS</u></span></a>",Advanced Energy United,Comments on Administrative Law Judges Ruling
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361785""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vehicle-Grid Integration Council,COMMENTS OF THE VEHICLE-GRID INTEGRATION COUNCIL ON THE ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548970108""><span style=""color:blue""><u>COMMENTS</u></span></a>",OhmConnect,"OPENING COMMENTS OF OHMCONNECT, INC. ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT"
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361441""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/M.Miley/CPUC,OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361564""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vote Solar,OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549797792""><span style=""color:blue""><u>COMMENTS</u></span></a>","350 Bay Area,Center for Biological Diversity,Microgrid Resources Coalition,CLIMATE CENTER,Green Power Institute,Clean Coalition",JOINT OPENING COMMENTS ON THE FUTURE GRID STUDY
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548362344""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,COMMENTS OF THE UTILITY CONSUMERS ACTION NETWORK (UCAN) ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361442""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548970071""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Independent System Operator Corporation,OPENING COMMENTS ON THE ADMINISTRATIVE LAW JUDGES RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548362230""><span style=""color:blue""><u>COMMENTS</u></span></a>",Green Power Institute,GREEN POWER INSTITUTE OPENING COMMENTS ON FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548970100""><span style=""color:blue""><u>COMMENTS</u></span></a>","Center for Biological Diversity,350 BAY AREA,The Climate Center",Opening Comments on Administrative Law Judges Ruling
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361443""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council,Environmental Defense Fund,CALSTART, Inc.",OPENING COMMENTS ON FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361567""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGES RULING REGARDING FUTURE GRID STUDY REPORT
"December 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=548361566""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company,Southern California Edison Company",JOINT OPENING COMMENTS ON ALJ RULING SEEKING COMMENTS REGARDING FUTURE GRID STUDY REPORT (TRACK 2)
"November 08, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343897""><span style=""color:blue""><u>REPORT</u></span></a>",San Diego Gas & Electric Company,(PUBLIC VERSION0 Independent Professional Engineer Distribution Planning Advisory Group Report.
"November 08, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545344362""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,SUBMISSION OF 2024 INDEPENDENT PROFESSIONAL ENGINEER DISTRIBUTION PLANNING ADVISORY GROUP REPORT
"November 08, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343577""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",San Diego Gas & Electric Company,(PUBLIC VERSION0 Independent Professional Engineer Distribution Planning Advisory Group Report.
"November 08, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=546376655""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",Pacific Gas and Electric Company,[PUBLIC VERSION] Independent Professional Engineer PG&E 2024 DPAG Report.
"November 08, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=546456339""><span style=""color:blue""><u>REPORT</u></span></a>",Pacific Gas and Electric Company,[PUBLIC VERSION] Independent Professional Engineer PG&E 2024 DPAG Report.
