Filing Date,Document Type,Filed By,Description
"July 24, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574351069""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/Cooke/CPUC,NOTICE OF REASSIGNMENT. Please be advised that Rulemaking 21-06-017 is being reassigned from Administrative Law Judge (ALJ) Manisha Lakhanpal to ALJ Jack Chang. ALJ Justin Regnier remains co-assigned.
"June 12, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=569577848""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2506030 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 24-10-030.
"May 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566363650""><span style=""color:blue""><u>RESPONSE</u></span></a>",Southern California Edison Company,RESPONSE TO MOTION REQUESTING COMMISSION ORDER REQUIRING IOU REVISION OF COMMUNITY ENGAGEMENT PLANS
"May 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566569295""><span style=""color:blue""><u>RESPONSE</u></span></a>",San Diego Gas & Electric Company,RESPONSE TO CENTER FOR ACCESSIBLE TECHNOLOGYS MOTION REQUESTING COMMISSION ORDER REQUIRING IOU REVISION OF COMMUNITY ENGAGEMENT PLANS
"May 05, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565498510""><span style=""color:blue""><u>MOTION</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,CENTER FOR ACCESSIBLE TECHNOLOGYS MOTION REQUESTING COMMISSION ORDER REQUIRING IOU REVISION OF COMMUNITY ENGAGEMENT PLAN
"May 01, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565498848""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,COMMUNITY ENGAGEMENT PLAN
"April 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563203627""><span style=""color:blue""><u>REQUEST</u></span></a>",Utility Consumers'' Action Network,"Supplement; to Request for Intervenor Compensation [filed December 20, 2024]"
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562062006""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,"REPLY COMMENTS ON TRACK 3 QUESTIONS. Please Note: ALJ Justin Regnier and ALJ Manisha Lakhanpal authorized the acceptance of this late filing via E-mail Ruling Issued on April 7, 2025."
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562084638""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/LAKHANPAL/CPUC,ALJ/REGNIER/CPUC",E-Mail Ruling allowing Small Business Utility Advocates to late file reply comments.
"April 01, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560976504""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","San Diego Gas & Electric Company,Pacific Gas and Electric Company,Southern California Edison Company",PENDING LOADS IMPLEMENTATION WORKSHOP JOINT REPORT
"April 01, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560241903""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Southern California Edison Companys comments regarding potential reforms to the Distribution Investment Deferral Framework process.
"April 01, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560976506""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,San Diego Gas & Electric Companys recommended Distribution Investment Deferral Framework Reforms for the 2025-2026 Distributed Planning Process Cycle.
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560101199""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,SAN DIEGO GAS & ELECTRIC COMPANYS (U 902-E) REPLY COMMENTS ON TRACK 3 QUESTIONS
"March 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829322""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,"REPLY COMMENTS ON THE ASSIGNED COMMISSIONERS AND ADMINISTRATIVE LAW JUDGES RULING SEEKING ADDITIONAL INFORMATION FROM PARTIES, SETTING FORTH FURTHE RDIRECTION, AND MODIFYING SCHEDULE FOR TRACK 3"
