Filing Date,Document Type,Filed By,Description
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566581697""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2505021 - Decision Granting Intervenor Compensation To Small Business Utility Advocates For Substantial Contribution To Decision 24-09-035.
"April 24, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565235984""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504042 - Decision Granting Intervenor Compensation To National Diversity Coalition For Substantial Contribution To Decision 24-09-035.
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563019535""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504018 - Decision Granting Intervenor Compensation To Center For Accessible Technology For Substantial Contribution To Decision 24-09-035.
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555977575""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,"Supplement (public version): to Request for Intervenor Compensation [filed December 2, 2024]"
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556052972""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",Small Business Utility Advocates,"Supplement (public version): to Request for Intervenor Compensation [filed December 2, 2024]"
"December 02, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=547538678""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,Intervenor Compensation Claim for Contribution to D24-09-035
"November 22, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=547538527""><span style=""color:blue""><u>REQUEST</u></span></a>",National Diversity Coalition,for intervenor compensation for contribution to D24-09-035
"November 22, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=547537675""><span style=""color:blue""><u>REQUEST</u></span></a>",Center for Accessible Technology,for intervenor compensation for contribution to D24-09-035
"September 26, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=542039069""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2409035 - Phase Two Decision Updating General Order 156 Supplier Diversity Program. Rulemaking 21-03-010 is closed.
"September 23, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=540720458""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLY COMMENTS ON PROPOSED DECISION
