Filing Date,Document Type,Filed By,Description
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527532413""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,"Annual Report on Vehicle-Grid Integration Strategies, Programs and Pilot Metrics."
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527532698""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",Pacific Gas and Electric Company,[PUBLIC VERSION] Annual Vehicle-Grid Integration Strategies Report for 2023.
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527532386""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",San Diego Gas & Electric Company,(PUBLIC VERSION) Vehicle Grid Integration Activities Annual Report for 2023.
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527440708""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Pacific Gas and Electric Company,Southern California Edison Company,San Diego Gas & Electric Company",D.20-12-019 ANNUAL STOCKTAKE REPORT.
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527737436""><span style=""color:blue""><u>REPORT</u></span></a>",Pacific Gas and Electric Company,[PUBLIC VERSION] Annual Vehicle-Grid Integration Strategies Report for 2023.
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527230490""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Valley Clean Energy Alliance,ANNUAL VEHICLE GRID INTEGRATION REPORT
"March 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527737400""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Diego Gas & Electric Company,(PUBLIC VERSION) Vehicle Grid Integration Activities Annual Report for 2023.
"February 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=526011373""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2402029 - Decision Granting Compensation To The Utility Consumers' Action Network For Substantial Contribution To Decision 22-08-024 And Decision 21-12-033.
"February 15, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525523534""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2402028 - Decision Granting Compensation To Natural Resources Defense Council For Substantial Contribution To Decision 22-11-040.
"February 05, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524929464""><span style=""color:blue""><u>REPLY</u></span></a>",San Diego Gas & Electric Company,Reply Comments on OIR Regarding Transportation Electrification Policy and Infrastructure.
"January 29, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524604057""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLY COMMENTS ON PROPOSED DECISION
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524509975""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2401057 - Decision Granting Compensation Claim To East Yard Communities For Environmental Justice For Contributions To Decisions (D.) 22-11-040, D.21-07-028, And D.20-12-027."
"January 24, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524905054""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Comments of The Utility Reform Network on the Proposed Decision of Commissioner Alice Reyolds granting compensation to Natural Resources Defense Council for substantial contribution to Decision 22-11-040.
"January 24, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524904614""><span style=""color:blue""><u>COMMENTS</u></span></a>",Natural Resources Defense Council,Natural Resources Defense Council comments on the Proposed Decision granting compensation to the Natural Resources Defense Council for substantial contribution to Decision 22-11-040.
"January 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524571004""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,OPENING COMMENTS OF SOUTHERN CALIFORNIA EDISON COMPANY (U 338-E) ON THE ORDER INSTITUTING RULEMAKING REGARDING TRANSPORTATION ELECTRIFICATION POLICY AND INFRASTRUCTURE AND CLOSING RULEMAKING 18-12-006
"January 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=526147937""><span style=""color:blue""><u>COMMENTS</u></span></a>",Green Power Institute,Comments on Preliminary Scoping Memo.
"January 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524570695""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,OPENING COMMENTS OF SAN DIEGO GAS & ELECTRIC COMPANY (U 902-E) ON ORDER INSTITUTING RULEMAKING REGARDING TRANSPORTATION ELECTRIFICATION POLICY AND INFRASTRUCTURE
"January 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523984320""><span style=""color:blue""><u>COMMENTS</u></span></a>",Vehicle-Grid Integration Council,COMMENTS OF THE VEHICLE-GRID INTEGRATION COUNCIL ON ORDER INSTITUTING RULEMAKING REGARDING TRANSPORTATION  ELECTRIFICATION POLICY AND INFRASTRUCTURE AND CLOSING RULEMAKING 18-12-006
"January 17, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523791735""><span style=""color:blue""><u>NOTICE</u></span></a>",Ava Community Energy Authority,NOTICE OF PARTY NAME CHANGE FROM EAST BAY COMMUNITY ENERGY AUTHORITY TO AVA COMMUNITY ENERGY AUTHORITY
"January 11, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523690984""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2401014 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 20-12-024, D.20-12-029, D.21-07-028. D.21-12-030, D.21-12-033, D.22-08-024, D.22-11-040, Resolution E-5167 and Resolution E-5227."
